primary_key,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Month,Revenue
40,2,5,1,6,Returning_Visitor,False,Feb,False
41,2,2,8,4,Returning_Visitor,False,Feb,False
42,1,1,3,2,Returning_Visitor,False,Feb,False
43,1,1,4,4,Returning_Visitor,False,Feb,False
44,3,2,2,3,Returning_Visitor,False,Feb,False
45,4,1,1,3,Returning_Visitor,False,Feb,False
46,2,5,1,4,Returning_Visitor,False,Feb,False
47,1,1,1,2,Returning_Visitor,False,Feb,False
48,3,2,1,3,Returning_Visitor,False,Feb,False
49,3,2,1,3,Returning_Visitor,False,Feb,False
50,2,2,3,2,Returning_Visitor,False,Feb,False
51,1,1,3,4,Returning_Visitor,True,Feb,False
52,3,2,1,3,Returning_Visitor,False,Feb,False
53,2,4,4,2,Returning_Visitor,True,Feb,False
54,4,2,2,3,Returning_Visitor,False,Feb,False
55,3,3,1,4,Returning_Visitor,False,Feb,False
56,2,4,1,3,Returning_Visitor,False,Feb,False
57,3,2,3,3,Returning_Visitor,False,Feb,False
58,2,2,4,1,Returning_Visitor,False,Feb,False
59,2,6,6,3,Returning_Visitor,False,Feb,False
60,2,4,2,1,Returning_Visitor,False,Feb,False
61,1,1,3,3,Returning_Visitor,False,Feb,False
62,1,1,1,3,Returning_Visitor,False,Feb,False
63,1,1,3,2,Returning_Visitor,False,Feb,False
64,2,2,5,4,Returning_Visitor,True,Feb,False
65,2,2,4,3,Returning_Visitor,False,Feb,False
66,2,2,3,1,Returning_Visitor,False,Feb,True
67,4,1,1,3,Returning_Visitor,False,Feb,False
68,2,2,5,1,Returning_Visitor,False,Feb,False
69,2,7,2,4,Returning_Visitor,False,Feb,False
70,3,2,3,3,Returning_Visitor,False,Feb,False
71,2,6,1,2,Returning_Visitor,False,Feb,False
72,2,6,6,1,Returning_Visitor,False,Feb,False
73,2,2,3,3,Returning_Visitor,False,Feb,False
74,2,4,3,2,Returning_Visitor,False,Feb,False
75,2,4,3,3,Returning_Visitor,False,Feb,False
76,2,4,1,1,Returning_Visitor,False,Feb,False
77,2,6,1,2,Returning_Visitor,False,Feb,True
78,3,2,3,3,Returning_Visitor,False,Feb,False
79,1,1,1,3,Returning_Visitor,True,Feb,False
80,1,1,1,3,Returning_Visitor,False,Feb,False
81,4,1,1,5,Returning_Visitor,True,Feb,False
82,1,1,1,3,Returning_Visitor,False,Feb,False
83,2,2,1,3,Returning_Visitor,False,Feb,False
84,3,2,4,1,Returning_Visitor,False,Feb,False
85,2,2,2,1,Returning_Visitor,True,Feb,False
86,1,1,1,3,Returning_Visitor,False,Feb,False
87,2,2,2,1,Returning_Visitor,False,Feb,False
88,1,1,1,3,Returning_Visitor,False,Feb,False
89,4,1,3,3,Returning_Visitor,False,Feb,False
90,1,1,4,2,Returning_Visitor,False,Feb,False
91,1,1,1,3,Returning_Visitor,False,Feb,False
92,1,1,1,2,Returning_Visitor,True,Feb,False
93,1,1,1,3,Returning_Visitor,False,Feb,False
94,2,2,1,5,New_Visitor,False,Feb,False
95,4,1,3,3,Returning_Visitor,False,Feb,False
96,1,1,1,3,Returning_Visitor,False,Feb,False
97,1,1,1,3,Returning_Visitor,False,Feb,False
98,1,1,1,4,Returning_Visitor,False,Feb,False
99,2,4,1,7,Returning_Visitor,False,Feb,False
100,3,2,3,4,Returning_Visitor,False,Feb,False
101,2,4,1,2,Returning_Visitor,False,Feb,False
102,1,1,7,4,Returning_Visitor,True,Feb,True
103,1,1,3,2,Returning_Visitor,False,Feb,False
104,2,2,4,3,Returning_Visitor,False,Feb,False
105,1,1,3,4,Returning_Visitor,False,Feb,False
106,1,1,7,2,Returning_Visitor,False,Feb,False
107,4,1,1,3,Returning_Visitor,False,Feb,False
108,1,1,1,3,Returning_Visitor,False,Feb,False
109,3,3,1,3,Returning_Visitor,False,Feb,False
110,2,5,1,3,Returning_Visitor,False,Feb,False
111,2,2,3,3,Returning_Visitor,False,Feb,False
112,2,2,1,3,Returning_Visitor,False,Feb,False
113,1,1,2,3,Returning_Visitor,False,Feb,False
114,2,4,1,1,Returning_Visitor,False,Feb,False
115,1,1,1,3,Returning_Visitor,False,Feb,False
116,1,1,1,4,Returning_Visitor,True,Feb,False
117,3,2,1,3,Returning_Visitor,False,Feb,False
118,2,2,3,1,Returning_Visitor,False,Feb,False
119,4,1,3,3,Returning_Visitor,False,Feb,False
120,2,4,9,3,Returning_Visitor,False,Feb,False
121,2,4,4,1,Returning_Visitor,False,Feb,False
122,2,2,1,2,Returning_Visitor,False,Feb,False
123,1,1,3,3,Returning_Visitor,False,Feb,False
124,1,1,3,3,Returning_Visitor,False,Feb,False
125,2,4,3,1,Returning_Visitor,False,Feb,False
126,1,1,3,3,Returning_Visitor,False,Feb,False
127,2,2,1,3,Returning_Visitor,False,Feb,False
128,1,1,8,3,Returning_Visitor,False,Feb,False
129,2,2,9,3,Returning_Visitor,False,Feb,False
130,2,4,1,1,Returning_Visitor,False,Feb,False
131,2,6,1,2,Returning_Visitor,True,Feb,False
132,2,2,1,6,Returning_Visitor,False,Feb,False
133,3,2,3,3,Returning_Visitor,False,Feb,False
134,2,2,4,3,Returning_Visitor,False,Feb,False
135,1,1,3,3,Returning_Visitor,False,Feb,False
136,3,2,4,2,Returning_Visitor,False,Feb,False
137,2,4,5,2,Returning_Visitor,False,Feb,False
138,2,4,1,5,Returning_Visitor,False,Feb,False
139,2,2,1,4,Returning_Visitor,False,Feb,False
140,1,1,3,3,Returning_Visitor,False,Feb,False
141,2,2,7,3,Returning_Visitor,False,Feb,False
142,1,1,6,3,Returning_Visitor,False,Feb,False
143,2,4,2,3,Returning_Visitor,False,Feb,False
144,2,2,2,3,Returning_Visitor,False,Feb,False
145,2,2,3,6,Returning_Visitor,False,Feb,False
146,2,4,1,3,Returning_Visitor,False,Feb,False
147,2,2,1,1,Returning_Visitor,False,Feb,False
148,2,2,3,3,Returning_Visitor,False,Feb,False
149,1,1,4,3,Returning_Visitor,False,Feb,False
150,2,2,2,1,Returning_Visitor,False,Feb,False
151,1,2,1,1,Returning_Visitor,False,Feb,False
152,2,2,3,4,Returning_Visitor,False,Feb,False
153,2,5,5,1,Returning_Visitor,False,Feb,False
154,2,2,3,3,Returning_Visitor,False,Feb,False
155,2,6,1,1,Returning_Visitor,False,Feb,False
156,3,2,2,1,Returning_Visitor,True,Feb,False
157,3,3,3,2,Returning_Visitor,True,Feb,False
158,1,1,1,3,Returning_Visitor,True,Feb,False
159,1,1,1,3,Returning_Visitor,False,Feb,False
160,3,2,3,3,Returning_Visitor,False,Feb,False
161,1,1,4,2,Returning_Visitor,False,Feb,False
162,1,1,1,1,Returning_Visitor,True,Feb,False
163,1,1,1,2,Returning_Visitor,True,Feb,False
164,1,1,3,3,Returning_Visitor,False,Feb,False
165,2,2,1,3,Returning_Visitor,False,Feb,False
166,1,1,3,2,Returning_Visitor,False,Feb,False
167,2,2,1,3,Returning_Visitor,False,Feb,False
168,2,2,1,3,Returning_Visitor,False,Feb,False
169,2,4,6,1,Returning_Visitor,False,Feb,False
170,3,2,7,4,Returning_Visitor,True,Feb,False
171,1,1,2,4,Returning_Visitor,True,Feb,False
172,2,4,1,3,Returning_Visitor,False,Feb,False
173,1,1,1,3,Returning_Visitor,False,Feb,False
174,1,1,1,2,Returning_Visitor,True,Feb,False
175,2,2,8,1,Returning_Visitor,True,Feb,False
176,1,1,2,3,Returning_Visitor,False,Feb,False
177,1,1,6,2,Returning_Visitor,False,Feb,False
178,1,1,1,4,Returning_Visitor,False,Feb,False
179,3,2,3,3,Returning_Visitor,False,Feb,False
180,1,1,6,2,Returning_Visitor,False,Feb,False
181,3,2,6,2,Returning_Visitor,True,Feb,False
182,4,2,1,3,Returning_Visitor,False,Feb,False
183,2,4,1,1,Returning_Visitor,False,Feb,False
184,3,2,1,3,Returning_Visitor,True,Feb,False
185,2,2,1,8,Returning_Visitor,False,Mar,False
186,1,1,3,1,Returning_Visitor,False,Mar,False
187,2,2,3,2,Returning_Visitor,False,Mar,False
188,3,2,6,2,Returning_Visitor,True,Mar,False
189,2,2,7,2,Returning_Visitor,False,Mar,True
190,2,2,1,1,Returning_Visitor,False,Mar,False
191,1,1,1,3,Returning_Visitor,False,Mar,False
192,2,2,1,2,Returning_Visitor,False,Mar,False
193,1,1,1,1,Returning_Visitor,False,Mar,False
194,2,2,3,1,Returning_Visitor,False,Mar,False
195,1,1,7,2,Returning_Visitor,True,Mar,False
196,1,1,1,3,Returning_Visitor,False,Mar,False
197,2,2,4,2,New_Visitor,False,Mar,True
198,2,2,1,2,Returning_Visitor,False,Mar,False
199,2,2,9,2,New_Visitor,False,Mar,True
200,2,4,1,2,New_Visitor,True,Mar,True
201,2,2,7,8,Returning_Visitor,True,Mar,True
202,1,1,1,9,Returning_Visitor,True,Mar,False
203,1,1,1,2,New_Visitor,False,Mar,False
204,1,2,1,8,Returning_Visitor,False,Mar,False
205,3,2,1,10,Returning_Visitor,False,Mar,False
206,2,2,5,2,New_Visitor,False,Mar,False
207,2,5,2,3,New_Visitor,False,Mar,True
208,2,2,7,2,New_Visitor,True,Mar,False
209,3,2,7,1,New_Visitor,False,Mar,False
210,2,4,1,3,Returning_Visitor,False,Mar,False
211,3,2,3,2,Returning_Visitor,False,Mar,False
212,2,6,3,1,Returning_Visitor,False,Mar,False
213,3,2,8,11,Returning_Visitor,False,Mar,False
214,1,2,6,6,Returning_Visitor,True,Mar,False
215,2,2,1,2,Returning_Visitor,False,Mar,False
216,2,2,4,1,Returning_Visitor,False,Mar,False
217,1,2,7,3,Returning_Visitor,False,Mar,False
218,2,4,2,2,Returning_Visitor,False,Mar,False
219,2,2,3,2,Returning_Visitor,False,Mar,False
220,2,4,3,12,Returning_Visitor,False,Mar,False
221,2,2,5,1,Returning_Visitor,False,Mar,True
222,2,2,1,1,Returning_Visitor,False,Mar,False
223,3,2,1,1,Returning_Visitor,False,Mar,False
224,2,2,1,8,New_Visitor,False,Mar,False
225,3,2,4,2,Returning_Visitor,False,Mar,False
226,2,2,3,11,Returning_Visitor,True,Mar,False
227,2,2,4,1,Returning_Visitor,False,Mar,False
228,2,2,1,3,Returning_Visitor,False,Mar,False
229,2,2,1,1,Returning_Visitor,False,Mar,True
230,2,2,1,3,Returning_Visitor,False,Mar,False
231,2,2,7,9,Returning_Visitor,True,Mar,False
232,2,2,3,2,Returning_Visitor,False,Mar,False
233,4,1,1,3,Returning_Visitor,True,Mar,False
234,2,2,3,2,Returning_Visitor,True,Mar,False
235,3,2,2,1,Returning_Visitor,True,Mar,False
236,3,2,2,2,Returning_Visitor,False,Mar,False
237,3,2,1,8,Returning_Visitor,True,Mar,False
238,2,6,1,1,Returning_Visitor,True,Mar,False
239,3,2,2,3,Returning_Visitor,True,Mar,False
240,2,2,4,3,Returning_Visitor,False,Mar,False
241,2,2,2,2,Returning_Visitor,False,Mar,False
242,2,5,1,3,Returning_Visitor,False,Mar,False
243,2,2,8,1,Returning_Visitor,False,Mar,False
244,2,2,1,3,Returning_Visitor,True,Mar,False
245,2,10,1,2,Returning_Visitor,False,Mar,False
246,4,1,1,3,Returning_Visitor,False,Mar,False
247,2,2,8,1,Returning_Visitor,False,Mar,False
248,3,3,1,1,Returning_Visitor,False,Mar,False
249,2,2,3,2,Returning_Visitor,False,Mar,True
250,3,2,2,1,Returning_Visitor,True,Mar,False
251,3,2,9,3,Returning_Visitor,True,Mar,False
252,2,5,1,1,Returning_Visitor,False,Mar,False
253,1,1,1,1,Returning_Visitor,False,Mar,False
254,2,5,2,1,Returning_Visitor,False,Mar,False
255,2,2,5,1,Returning_Visitor,True,Mar,False
256,1,1,1,1,Returning_Visitor,False,Mar,False
257,3,2,3,2,Returning_Visitor,False,Mar,False
258,1,1,7,8,Returning_Visitor,False,Mar,False
259,1,1,3,1,Returning_Visitor,False,Mar,False
260,2,2,1,8,New_Visitor,False,Mar,False
261,7,1,6,1,Returning_Visitor,True,Mar,False
262,3,3,5,2,Returning_Visitor,False,Mar,False
263,2,2,3,2,Returning_Visitor,True,Mar,True
264,2,2,1,1,Returning_Visitor,False,Mar,False
265,2,2,7,2,Returning_Visitor,False,Mar,False
266,2,5,3,1,Returning_Visitor,True,Mar,True
267,1,8,7,2,Returning_Visitor,False,Mar,False
268,2,2,1,10,Returning_Visitor,False,Mar,False
269,2,4,1,1,Returning_Visitor,False,Mar,False
270,1,1,1,3,Returning_Visitor,True,Mar,False
271,3,2,1,1,Returning_Visitor,True,Mar,False
272,2,5,1,1,Returning_Visitor,False,Mar,False
273,1,1,1,8,New_Visitor,False,Mar,False
274,2,5,3,3,Returning_Visitor,False,Mar,False
275,1,1,2,9,Returning_Visitor,True,Mar,False
276,2,5,6,1,Returning_Visitor,False,Mar,False
277,1,1,1,3,Returning_Visitor,True,Mar,True
278,4,2,9,1,Returning_Visitor,False,Mar,False
279,2,2,2,2,Returning_Visitor,False,Mar,False
280,2,2,3,1,Returning_Visitor,False,Mar,False
281,2,2,1,3,Returning_Visitor,True,Mar,False
282,2,2,1,11,Returning_Visitor,True,Mar,True
283,3,2,2,3,Returning_Visitor,False,Mar,False
284,2,2,4,3,Returning_Visitor,False,Mar,False
285,3,9,9,2,Returning_Visitor,False,Mar,False
286,2,2,2,1,Returning_Visitor,False,Mar,False
287,2,2,1,1,Returning_Visitor,False,Mar,False
288,2,2,1,1,Returning_Visitor,False,Mar,False
289,2,2,5,1,Returning_Visitor,False,Mar,False
290,1,1,1,10,Returning_Visitor,False,Mar,False
291,3,2,6,3,Returning_Visitor,False,Mar,False
292,2,2,3,6,Returning_Visitor,False,Mar,False
293,3,2,2,1,Returning_Visitor,False,Mar,False
294,1,1,1,1,Returning_Visitor,True,Mar,False
295,2,2,1,7,Returning_Visitor,False,Mar,True
296,3,2,1,3,Returning_Visitor,False,Mar,True
297,2,5,1,1,Returning_Visitor,False,Mar,False
298,3,2,1,1,Returning_Visitor,False,Mar,False
299,1,1,8,1,Returning_Visitor,False,Mar,False
300,2,2,1,3,Returning_Visitor,False,Mar,False
301,1,1,1,9,Returning_Visitor,True,Mar,False
302,2,2,2,3,Returning_Visitor,True,Mar,False
303,3,2,3,1,Returning_Visitor,False,Mar,False
304,2,2,6,1,Returning_Visitor,False,Mar,False
305,3,2,1,3,Returning_Visitor,False,Mar,False
306,3,2,3,1,Returning_Visitor,False,Mar,False
307,2,2,1,3,Returning_Visitor,True,Mar,False
308,2,2,1,1,Returning_Visitor,False,Mar,False
309,3,2,4,11,Returning_Visitor,False,Mar,False
310,1,1,4,9,Returning_Visitor,True,Mar,False
311,2,2,1,13,Returning_Visitor,False,Mar,False
312,2,5,1,3,Returning_Visitor,True,Mar,False
313,2,2,1,1,Returning_Visitor,False,Mar,False
314,3,2,1,1,Returning_Visitor,False,Mar,False
315,1,1,6,2,Returning_Visitor,False,Mar,False
316,1,2,1,2,Returning_Visitor,False,Mar,False
317,4,1,1,1,Returning_Visitor,False,Mar,False
318,2,2,1,8,Returning_Visitor,False,Mar,False
319,2,2,1,1,Returning_Visitor,False,Mar,False
320,4,1,1,1,Returning_Visitor,False,Mar,False
321,3,2,6,1,Returning_Visitor,False,Mar,True
322,2,2,4,1,Returning_Visitor,False,Mar,False
323,2,2,9,2,Returning_Visitor,False,Mar,False
324,2,2,1,2,New_Visitor,False,Mar,False
325,1,2,6,1,Returning_Visitor,False,Mar,False
326,2,2,1,1,Returning_Visitor,False,Mar,False
327,2,2,1,2,New_Visitor,False,Mar,False
328,1,1,1,1,Returning_Visitor,True,Mar,False
329,3,2,1,9,Returning_Visitor,False,Mar,False
330,3,2,8,2,New_Visitor,False,Mar,False
331,3,2,3,1,Returning_Visitor,False,Mar,False
332,4,2,1,2,New_Visitor,False,Mar,False
333,1,2,1,1,Returning_Visitor,False,Mar,False
334,2,2,1,1,Returning_Visitor,False,Mar,False
335,2,2,3,1,Returning_Visitor,False,Mar,False
336,2,2,3,1,Returning_Visitor,False,Mar,False
337,3,2,1,3,Returning_Visitor,False,Mar,False
338,2,2,1,2,Returning_Visitor,False,Mar,False
339,2,2,1,2,Returning_Visitor,False,Mar,False
340,3,2,1,2,Returning_Visitor,False,Mar,False
341,2,2,1,3,Returning_Visitor,False,Mar,False
342,2,2,4,1,Returning_Visitor,False,Mar,False
343,1,1,1,3,Returning_Visitor,False,Mar,False
344,1,1,8,1,Returning_Visitor,False,Mar,False
345,2,2,8,1,Returning_Visitor,False,Mar,False
346,3,2,3,8,New_Visitor,False,Mar,False
347,2,2,4,3,Returning_Visitor,False,Mar,False
348,1,1,1,3,Returning_Visitor,False,Mar,False
349,2,10,1,3,New_Visitor,False,Mar,False
350,3,2,2,1,Returning_Visitor,True,Mar,False
351,2,2,1,1,New_Visitor,False,Mar,False
352,2,5,7,1,Returning_Visitor,False,Mar,False
353,2,2,3,1,Returning_Visitor,True,Mar,False
354,2,2,6,2,Returning_Visitor,False,Mar,False
355,2,2,2,1,Returning_Visitor,False,Mar,False
356,2,4,1,3,Returning_Visitor,False,Mar,True
357,2,2,4,1,Returning_Visitor,False,Mar,False
358,2,6,2,2,Returning_Visitor,False,Mar,False
359,2,2,1,2,Returning_Visitor,False,Mar,False
360,3,2,1,1,Returning_Visitor,False,Mar,False
361,2,2,1,1,Returning_Visitor,False,Mar,False
362,2,2,1,1,Returning_Visitor,True,Mar,False
363,2,4,3,1,Returning_Visitor,False,Mar,False
364,1,1,3,3,Returning_Visitor,False,Mar,False
365,1,1,1,2,Returning_Visitor,True,Mar,False
366,2,2,9,3,New_Visitor,False,Mar,True
367,2,2,4,3,Returning_Visitor,True,Mar,False
368,3,2,5,2,Returning_Visitor,False,Mar,False
369,2,5,2,1,Returning_Visitor,False,Mar,False
370,2,4,4,3,Returning_Visitor,True,Mar,False
371,1,1,4,1,Returning_Visitor,False,Mar,False
372,2,2,9,1,Returning_Visitor,False,Mar,False
373,3,2,1,8,New_Visitor,True,Mar,False
374,2,2,3,2,Returning_Visitor,False,Mar,False
375,2,2,3,1,Returning_Visitor,False,Mar,False
376,3,2,4,1,Returning_Visitor,False,Mar,False
377,2,2,5,2,Returning_Visitor,False,Mar,False
378,2,2,1,1,Returning_Visitor,True,Mar,False
379,3,2,8,10,Returning_Visitor,False,Mar,False
380,1,1,4,2,Returning_Visitor,False,Mar,True
381,1,1,5,3,Returning_Visitor,False,Mar,False
382,2,4,1,3,Returning_Visitor,False,Mar,False
383,1,5,7,1,Returning_Visitor,False,Mar,False
384,2,2,2,3,Returning_Visitor,False,Mar,False
385,1,1,4,2,Returning_Visitor,False,Mar,False
386,3,2,4,1,Returning_Visitor,False,Mar,False
387,2,2,1,2,Returning_Visitor,False,Mar,False
388,2,2,6,2,Returning_Visitor,False,Mar,False
389,3,2,1,6,Returning_Visitor,False,Mar,False
390,3,2,2,3,Returning_Visitor,False,Mar,False
391,2,2,1,1,Returning_Visitor,False,Mar,True
392,3,2,8,1,Returning_Visitor,False,Mar,False
393,3,2,3,1,Returning_Visitor,True,Mar,False
394,1,1,2,1,Returning_Visitor,False,Mar,False
395,1,1,1,3,Returning_Visitor,True,Mar,False
396,1,1,4,2,Returning_Visitor,False,Mar,False
397,3,2,2,10,New_Visitor,False,Mar,False
398,2,2,1,2,Returning_Visitor,False,Mar,False
399,2,4,1,1,Returning_Visitor,False,Mar,False
400,2,2,7,2,Returning_Visitor,False,Mar,True
401,3,3,2,1,Returning_Visitor,False,Mar,True
402,2,2,1,1,Returning_Visitor,False,Mar,False
403,1,1,3,2,New_Visitor,False,Mar,False
404,2,2,6,1,Returning_Visitor,False,Mar,False
405,3,2,1,2,New_Visitor,False,Mar,False
406,2,2,9,1,Returning_Visitor,False,Mar,False
407,4,2,1,7,New_Visitor,False,Mar,False
408,2,6,1,2,Returning_Visitor,False,Mar,False
409,1,2,1,9,Returning_Visitor,True,Mar,True
410,2,2,6,6,Returning_Visitor,False,Mar,False
411,2,4,7,1,Returning_Visitor,False,Mar,False
412,1,1,6,1,Returning_Visitor,True,Mar,False
413,1,2,3,8,New_Visitor,True,Mar,False
414,3,2,1,10,Returning_Visitor,True,Mar,False
415,1,1,8,2,Returning_Visitor,True,Mar,False
416,2,2,3,10,Returning_Visitor,False,Mar,False
417,2,2,1,3,Returning_Visitor,True,Mar,True
418,2,2,2,1,Returning_Visitor,True,Mar,False
419,1,1,1,1,Returning_Visitor,True,Mar,False
420,1,2,9,2,Returning_Visitor,False,Mar,False
421,2,5,1,1,Returning_Visitor,True,Mar,False
422,3,2,2,1,Returning_Visitor,False,Mar,False
423,2,2,1,2,Returning_Visitor,False,Mar,False
424,2,5,6,2,Returning_Visitor,True,Mar,False
425,2,2,1,2,Returning_Visitor,False,Mar,True
426,2,2,1,2,Returning_Visitor,True,Mar,False
427,2,2,1,3,Returning_Visitor,True,Mar,False
428,2,10,4,3,Returning_Visitor,False,Mar,False
429,2,2,1,2,Returning_Visitor,False,Mar,False
430,2,2,4,11,Returning_Visitor,False,Mar,False
431,2,4,3,6,Returning_Visitor,False,Mar,False
432,3,2,1,1,Returning_Visitor,True,Mar,False
433,2,2,3,1,Returning_Visitor,False,Mar,False
434,3,2,3,2,New_Visitor,True,Mar,False
435,3,2,1,13,Returning_Visitor,True,Mar,False
436,2,2,3,2,New_Visitor,True,Mar,False
437,2,5,2,1,Returning_Visitor,False,Mar,False
438,3,3,2,1,Returning_Visitor,False,Mar,False
439,2,2,2,3,Returning_Visitor,False,Mar,False
440,2,2,5,2,Returning_Visitor,False,Mar,False
441,2,2,4,2,Returning_Visitor,True,Mar,False
442,2,2,4,6,Returning_Visitor,False,Mar,False
443,2,2,4,2,Returning_Visitor,False,Mar,False
444,1,8,4,11,New_Visitor,False,Mar,False
445,1,1,3,10,Returning_Visitor,False,Mar,False
446,3,2,1,10,Returning_Visitor,True,Mar,False
447,2,2,3,2,Returning_Visitor,False,Mar,False
448,1,1,8,2,New_Visitor,False,Mar,False
449,1,1,4,3,Returning_Visitor,False,Mar,False
450,1,1,3,1,Returning_Visitor,True,Mar,False
451,2,2,1,2,Returning_Visitor,False,Mar,False
452,1,1,1,2,New_Visitor,False,Mar,False
453,2,2,6,1,Returning_Visitor,False,Mar,False
454,2,2,1,2,Returning_Visitor,True,Mar,False
455,2,2,3,3,New_Visitor,True,Mar,False
456,3,3,3,9,Returning_Visitor,True,Mar,False
457,2,2,4,1,Returning_Visitor,False,Mar,False
458,2,2,1,2,New_Visitor,True,Mar,True
459,2,5,5,1,Returning_Visitor,False,Mar,False
460,2,2,1,3,Returning_Visitor,False,Mar,False
461,3,2,1,9,New_Visitor,True,Mar,False
462,3,2,1,1,Returning_Visitor,False,Mar,False
463,3,2,4,14,Returning_Visitor,True,Mar,False
464,2,2,3,2,Returning_Visitor,False,Mar,False
465,1,1,1,1,Returning_Visitor,False,Mar,False
466,3,2,2,1,Returning_Visitor,True,Mar,False
467,2,2,4,2,Returning_Visitor,False,Mar,False
468,2,2,6,1,Returning_Visitor,False,Mar,False
469,2,5,1,1,Returning_Visitor,False,Mar,False
470,1,1,2,1,Returning_Visitor,True,Mar,False
471,2,4,5,2,Returning_Visitor,False,Mar,False
472,2,4,3,1,Returning_Visitor,False,Mar,False
473,1,1,8,3,Returning_Visitor,False,Mar,False
474,3,2,1,3,Returning_Visitor,True,Mar,False
475,2,5,1,1,Returning_Visitor,False,Mar,False
476,1,1,3,3,New_Visitor,True,Mar,False
477,2,4,1,2,New_Visitor,True,Mar,False
478,2,2,3,1,Returning_Visitor,False,Mar,False
479,3,2,3,2,Returning_Visitor,False,Mar,False
480,2,2,3,3,Returning_Visitor,False,Mar,False
481,2,2,1,3,Returning_Visitor,False,Mar,False
482,1,1,3,1,Returning_Visitor,False,Mar,False
483,4,1,6,1,Returning_Visitor,False,Mar,False
484,3,2,3,1,Returning_Visitor,False,Mar,False
485,1,1,8,2,New_Visitor,False,Mar,False
486,2,6,4,1,Returning_Visitor,False,Mar,False
487,2,2,3,3,Returning_Visitor,False,Mar,False
488,2,2,7,7,Returning_Visitor,False,Mar,False
489,2,2,9,1,Returning_Visitor,True,Mar,False
490,1,1,1,10,Returning_Visitor,False,Mar,False
491,1,1,1,1,Returning_Visitor,True,Mar,False
492,3,2,3,9,Returning_Visitor,True,Mar,False
493,4,2,1,3,Returning_Visitor,False,Mar,False
494,2,2,6,1,Returning_Visitor,False,Mar,False
495,2,2,1,2,New_Visitor,True,Mar,False
496,3,2,1,1,Returning_Visitor,True,Mar,False
497,3,2,7,9,Returning_Visitor,True,Mar,False
498,2,4,1,3,Returning_Visitor,True,Mar,False
499,2,4,6,2,Returning_Visitor,True,Mar,False
500,2,2,1,2,Returning_Visitor,False,Mar,False
501,2,2,4,1,Returning_Visitor,False,Mar,False
502,2,6,2,3,Returning_Visitor,False,Mar,False
503,2,4,2,2,Returning_Visitor,False,Mar,False
504,3,2,1,1,Returning_Visitor,False,Mar,True
505,2,2,3,13,Returning_Visitor,False,Mar,False
506,2,2,6,2,New_Visitor,True,Mar,False
507,2,2,3,13,Returning_Visitor,False,Mar,False
508,1,6,1,1,Returning_Visitor,False,Mar,False
509,1,1,1,3,Returning_Visitor,False,Mar,False
510,2,2,3,1,Returning_Visitor,False,Mar,False
511,2,4,9,2,Returning_Visitor,False,Mar,True
512,3,2,3,2,Returning_Visitor,False,Mar,False
513,2,2,1,1,Returning_Visitor,False,Mar,False
514,2,2,1,1,Returning_Visitor,True,Mar,False
515,2,4,7,2,Returning_Visitor,False,Mar,False
516,2,2,4,3,Returning_Visitor,False,Mar,False
517,1,1,2,3,Returning_Visitor,False,Mar,False
518,2,4,1,3,Returning_Visitor,True,Mar,False
